,0,1,2,3,4,5,6,7,8,9
0,한산: 용의 출현,관람객 평점 8.50점,"액션, 드라마",한국,129분 , 2022.07.27 개봉,김한민,"박해일, 변요한, 안성기",[국내] 12세 관람가,"3,692,268명(08.05 기준)"
1,비상선언,관람객 평점 6.74점,드라마,한국,140분 , 2022.08.03 개봉,한재림,"송강호, 이병헌, 전도연",[국내] 12세 관람가,"794,768명(08.05 기준)"
2,외계+인 1부,관람객 평점 6.88점,"액션, 판타지, SF",한국,142분 , 2022.07.20 개봉,최동훈,"류준열, 김우빈, 김태리",[국내] 12세 관람가,"1,466,379명(08.05 기준)"
3,탑건: 매버릭,관람객 평점 9.60점,액션,미국,130분 , 2022.06.22 개봉,조셉 코신스키,"톰 크루즈(매버릭), 마일즈 텔러(루스터), 제니퍼 코넬리(페니)",[국내] 12세 관람가,"7,305,843명(08.05 기준)"
4,헤어질 결심,관람객 평점 8.92점,"멜로/로맨스, 드라마, 서스펜스",한국,138분 , 2022.06.29 개봉,박찬욱,"박해일(해준), 탕웨이(서래), 이정현(정안)",[국내] 15세 관람가,"1,741,846명(08.05 기준)"
5,헌트,"액션, 드라마",한국,125분 , 2022.08.10 개봉,이정재,"이정재(박평호), 정우성(김정도)",[국내] 15세 관람가,,
6,미니언즈2,관람객 평점 7.84점,"애니메이션, 모험, 코미디",미국,87분 , 2022.07.20 개봉,카일 발다,"스티브 카렐(그루 목소리), 타라지 P. 헨슨(벨 바텀 목소리), 양자경",[국내] 전체 관람가,"1,837,975명(08.05 기준)"
7,토르: 러브 앤 썬더,관람객 평점 6.73점,"액션, 모험, 판타지",미국,119분 , 2022.07.06 개봉,타이카 와이티티,"크리스 헴스워스(토르), 나탈리 포트만(제인 포스터), 테사 톰슨(발키리)",[국내] 12세 관람가,"2,713,431명(08.05 기준)"
8,더 킬러: 죽어도 되는 아이,관람객 평점 8.64점,액션,한국,95분 , 2022.07.13 개봉,최재훈,"장혁, 브루스 칸, 이서영",[국내] 청소년 관람불가,
9,범죄도시2,관람객 평점 9.02점,"범죄, 액션",한국,106분 , 2022.05.18 개봉,이상용,"마동석(마석도), 손석구(강해상), 최귀화(전일만)",[국내] 15세 관람가,"12,692,052명(08.05 기준)"
